,Compound,Date,Negative,Neutral,Positive,Tweets Ago
155,0.3612,Sun Apr 08 03:59:04 +0000 2018,0.884,0.0,0.116,156
156,0.0,Sun Apr 08 03:59:03 +0000 2018,1.0,0.0,0.0,157
157,0.0,Sun Apr 08 03:58:49 +0000 2018,1.0,0.0,0.0,158
158,0.0,Sun Apr 08 03:58:44 +0000 2018,1.0,0.0,0.0,159
159,0.0,Sun Apr 08 03:58:41 +0000 2018,1.0,0.0,0.0,160
160,-0.5859,Sun Apr 08 03:58:39 +0000 2018,0.833,0.167,0.0,161
161,0.4215,Sun Apr 08 03:58:27 +0000 2018,0.851,0.0,0.149,162
162,-0.0516,Sun Apr 08 03:58:27 +0000 2018,0.694,0.16,0.146,163
163,0.6421,Sun Apr 08 03:58:26 +0000 2018,0.774,0.0,0.226,164
164,0.4019,Sun Apr 08 03:58:25 +0000 2018,0.876,0.0,0.124,165
165,0.0,Sun Apr 08 03:58:18 +0000 2018,1.0,0.0,0.0,166
166,0.34,Sun Apr 08 03:58:06 +0000 2018,0.902,0.0,0.098,167
167,0.0,Sun Apr 08 03:58:03 +0000 2018,1.0,0.0,0.0,168
168,0.0,Sun Apr 08 03:58:02 +0000 2018,1.0,0.0,0.0,169
169,0.0,Sun Apr 08 03:57:49 +0000 2018,1.0,0.0,0.0,170
170,0.34,Sun Apr 08 03:57:42 +0000 2018,0.902,0.0,0.098,171
171,0.0,Sun Apr 08 03:57:42 +0000 2018,1.0,0.0,0.0,172
172,0.0,Sun Apr 08 03:57:35 +0000 2018,1.0,0.0,0.0,173
173,-0.4404,Sun Apr 08 03:57:16 +0000 2018,0.868,0.132,0.0,174
174,0.0772,Sun Apr 08 03:57:04 +0000 2018,0.929,0.0,0.071,175
175,0.34,Sun Apr 08 03:57:02 +0000 2018,0.902,0.0,0.098,176
176,0.34,Sun Apr 08 03:57:02 +0000 2018,0.902,0.0,0.098,177
177,0.5106,Sun Apr 08 03:56:59 +0000 2018,0.858,0.0,0.142,178
178,0.0,Sun Apr 08 03:56:58 +0000 2018,1.0,0.0,0.0,179
179,-0.5719,Sun Apr 08 03:56:58 +0000 2018,0.837,0.163,0.0,180
180,-0.2023,Sun Apr 08 03:56:55 +0000 2018,0.739,0.148,0.113,181
181,0.6542,Sun Apr 08 03:56:52 +0000 2018,0.732,0.05,0.218,182
182,-0.296,Sun Apr 08 03:56:48 +0000 2018,0.905,0.095,0.0,183
183,0.0,Sun Apr 08 03:56:45 +0000 2018,1.0,0.0,0.0,184
184,0.5324,Sun Apr 08 03:56:38 +0000 2018,0.703,0.085,0.212,185
185,0.0,Sun Apr 08 03:56:23 +0000 2018,1.0,0.0,0.0,186
186,0.0,Sun Apr 08 03:56:21 +0000 2018,1.0,0.0,0.0,187
187,0.0,Sun Apr 08 03:56:20 +0000 2018,1.0,0.0,0.0,188
188,0.34,Sun Apr 08 03:56:19 +0000 2018,0.902,0.0,0.098,189
189,0.5411,Sun Apr 08 03:56:18 +0000 2018,0.821,0.0,0.179,190
190,0.0,Sun Apr 08 03:56:17 +0000 2018,1.0,0.0,0.0,191
191,0.1531,Sun Apr 08 03:56:16 +0000 2018,0.833,0.069,0.097,192
192,0.636,Sun Apr 08 03:56:14 +0000 2018,0.776,0.0,0.224,193
193,0.4588,Sun Apr 08 03:56:12 +0000 2018,0.864,0.0,0.136,194
194,-0.1511,Sun Apr 08 03:56:11 +0000 2018,0.914,0.086,0.0,195
195,0.34,Sun Apr 08 03:56:05 +0000 2018,0.902,0.0,0.098,196
196,0.0,Sun Apr 08 03:56:01 +0000 2018,1.0,0.0,0.0,197
197,-0.5994,Sun Apr 08 03:55:57 +0000 2018,0.83,0.17,0.0,198
198,0.34,Sun Apr 08 03:55:55 +0000 2018,0.902,0.0,0.098,199
199,0.34,Sun Apr 08 03:55:52 +0000 2018,0.902,0.0,0.098,200
200,-0.34,Sun Apr 08 04:02:35 +0000 2018,0.893,0.107,0.0,201
201,0.0,Sun Apr 08 04:02:34 +0000 2018,1.0,0.0,0.0,202
202,0.0,Sun Apr 08 04:02:34 +0000 2018,1.0,0.0,0.0,203
203,0.0,Sun Apr 08 04:02:34 +0000 2018,1.0,0.0,0.0,204
204,-0.6369,Sun Apr 08 04:02:33 +0000 2018,0.679,0.321,0.0,205
205,0.0,Sun Apr 08 04:02:33 +0000 2018,1.0,0.0,0.0,206
206,0.0,Sun Apr 08 04:02:32 +0000 2018,1.0,0.0,0.0,207
207,0.0,Sun Apr 08 04:02:32 +0000 2018,1.0,0.0,0.0,208
208,-0.34,Sun Apr 08 04:02:32 +0000 2018,0.862,0.138,0.0,209
209,-0.1935,Sun Apr 08 04:02:32 +0000 2018,0.665,0.207,0.129,210
210,-0.802,Sun Apr 08 04:02:32 +0000 2018,0.69,0.31,0.0,211
211,0.4613,Sun Apr 08 04:02:32 +0000 2018,0.869,0.0,0.131,212
212,-0.7906,Sun Apr 08 04:02:31 +0000 2018,0.533,0.467,0.0,213
213,-0.6597,Sun Apr 08 04:02:31 +0000 2018,0.803,0.197,0.0,214
214,0.0,Sun Apr 08 04:02:31 +0000 2018,1.0,0.0,0.0,215
215,0.0,Sun Apr 08 04:02:30 +0000 2018,1.0,0.0,0.0,216
216,0.128,Sun Apr 08 04:02:30 +0000 2018,0.795,0.092,0.113,217
217,0.0,Sun Apr 08 04:02:28 +0000 2018,1.0,0.0,0.0,218
218,0.3612,Sun Apr 08 04:02:28 +0000 2018,0.815,0.0,0.185,219
219,-0.7717,Sun Apr 08 04:02:27 +0000 2018,0.623,0.298,0.079,220
220,-0.765,Sun Apr 08 04:02:27 +0000 2018,0.777,0.223,0.0,221
221,-0.6496,Sun Apr 08 04:02:26 +0000 2018,0.516,0.327,0.156,222
222,-0.4767,Sun Apr 08 04:02:26 +0000 2018,0.659,0.341,0.0,223
223,-0.4404,Sun Apr 08 04:02:25 +0000 2018,0.679,0.215,0.106,224
224,0.0,Sun Apr 08 04:02:25 +0000 2018,1.0,0.0,0.0,225
225,-0.34,Sun Apr 08 04:02:25 +0000 2018,0.833,0.167,0.0,226
226,0.34,Sun Apr 08 04:02:24 +0000 2018,0.588,0.137,0.275,227
227,-0.4559,Sun Apr 08 04:02:24 +0000 2018,0.668,0.332,0.0,228
228,-0.7783,Sun Apr 08 04:02:22 +0000 2018,0.578,0.293,0.129,229
229,0.0,Sun Apr 08 04:02:21 +0000 2018,1.0,0.0,0.0,230
230,-0.3182,Sun Apr 08 04:02:21 +0000 2018,0.897,0.103,0.0,231
231,0.0,Sun Apr 08 04:02:21 +0000 2018,1.0,0.0,0.0,232
232,-0.4588,Sun Apr 08 04:02:21 +0000 2018,0.778,0.222,0.0,233
233,-0.1531,Sun Apr 08 04:02:20 +0000 2018,0.833,0.167,0.0,234
234,0.0,Sun Apr 08 04:02:20 +0000 2018,1.0,0.0,0.0,235
235,-0.7717,Sun Apr 08 04:02:20 +0000 2018,0.623,0.298,0.079,236
236,-0.7717,Sun Apr 08 04:02:19 +0000 2018,0.623,0.298,0.079,237
237,-0.765,Sun Apr 08 04:02:18 +0000 2018,0.777,0.223,0.0,238
238,0.2263,Sun Apr 08 04:02:17 +0000 2018,0.805,0.08,0.115,239
239,0.0,Sun Apr 08 04:02:17 +0000 2018,1.0,0.0,0.0,240
240,0.0,Sun Apr 08 04:02:17 +0000 2018,1.0,0.0,0.0,241
241,0.0,Sun Apr 08 04:02:16 +0000 2018,1.0,0.0,0.0,242
242,0.0,Sun Apr 08 04:02:16 +0000 2018,1.0,0.0,0.0,243
243,-0.3612,Sun Apr 08 04:02:16 +0000 2018,0.898,0.102,0.0,244
244,-0.5141,Sun Apr 08 04:02:14 +0000 2018,0.707,0.293,0.0,245
245,-0.1531,Sun Apr 08 04:02:14 +0000 2018,0.792,0.119,0.089,246
246,-0.4767,Sun Apr 08 04:02:13 +0000 2018,0.744,0.256,0.0,247
247,-0.1027,Sun Apr 08 04:02:13 +0000 2018,0.714,0.153,0.133,248
248,-0.4939,Sun Apr 08 04:02:12 +0000 2018,0.738,0.262,0.0,249
249,-0.6801,Sun Apr 08 04:02:12 +0000 2018,0.828,0.172,0.0,250
250,-0.5994,Sun Apr 08 04:02:11 +0000 2018,0.598,0.279,0.124,251
251,0.3182,Sun Apr 08 04:02:10 +0000 2018,0.813,0.0,0.187,252
252,0.0,Sun Apr 08 04:02:10 +0000 2018,1.0,0.0,0.0,253
253,0.0,Sun Apr 08 04:02:10 +0000 2018,1.0,0.0,0.0,254
254,0.9313,Sun Apr 08 04:02:10 +0000 2018,0.59,0.0,0.41,255
255,0.6369,Sun Apr 08 04:02:09 +0000 2018,0.802,0.0,0.198,256
256,0.0,Sun Apr 08 04:02:08 +0000 2018,1.0,0.0,0.0,257
257,-0.25,Sun Apr 08 04:02:07 +0000 2018,0.895,0.105,0.0,258
258,0.6369,Sun Apr 08 04:02:07 +0000 2018,0.846,0.0,0.154,259
259,-0.8822,Sun Apr 08 04:02:07 +0000 2018,0.647,0.353,0.0,260
260,0.5994,Sun Apr 08 04:02:07 +0000 2018,0.671,0.0,0.329,261
261,0.0,Sun Apr 08 04:02:06 +0000 2018,1.0,0.0,0.0,262
262,-0.7128,Sun Apr 08 04:02:06 +0000 2018,0.78,0.22,0.0,263
263,-0.34,Sun Apr 08 04:02:06 +0000 2018,0.893,0.107,0.0,264
264,0.7096,Sun Apr 08 04:02:05 +0000 2018,0.629,0.0,0.371,265
265,0.4019,Sun Apr 08 04:02:05 +0000 2018,0.824,0.0,0.176,266
266,0.3007,Sun Apr 08 04:02:04 +0000 2018,0.863,0.0,0.137,267
267,0.0,Sun Apr 08 04:02:03 +0000 2018,1.0,0.0,0.0,268
268,-0.7093,Sun Apr 08 04:02:03 +0000 2018,0.763,0.237,0.0,269
269,0.2023,Sun Apr 08 04:02:02 +0000 2018,0.792,0.088,0.121,270
270,0.0,Sun Apr 08 04:02:01 +0000 2018,1.0,0.0,0.0,271
271,0.2023,Sun Apr 08 04:01:59 +0000 2018,0.924,0.0,0.076,272
272,0.7501,Sun Apr 08 04:01:59 +0000 2018,0.715,0.0,0.285,273
273,0.0,Sun Apr 08 04:01:59 +0000 2018,1.0,0.0,0.0,274
274,-0.2235,Sun Apr 08 04:01:59 +0000 2018,0.905,0.095,0.0,275
275,0.0,Sun Apr 08 04:01:58 +0000 2018,1.0,0.0,0.0,276
276,0.0,Sun Apr 08 04:01:58 +0000 2018,1.0,0.0,0.0,277
277,0.0,Sun Apr 08 04:01:57 +0000 2018,1.0,0.0,0.0,278
278,-0.765,Sun Apr 08 04:01:57 +0000 2018,0.742,0.258,0.0,279
279,0.3612,Sun Apr 08 04:01:57 +0000 2018,0.848,0.0,0.152,280
280,0.0,Sun Apr 08 04:01:56 +0000 2018,1.0,0.0,0.0,281
281,0.0,Sun Apr 08 04:01:56 +0000 2018,1.0,0.0,0.0,282
282,-0.802,Sun Apr 08 04:01:56 +0000 2018,0.635,0.365,0.0,283
283,0.0,Sun Apr 08 04:01:55 +0000 2018,1.0,0.0,0.0,284
284,-0.4404,Sun Apr 08 04:01:55 +0000 2018,0.719,0.281,0.0,285
285,0.3182,Sun Apr 08 04:01:54 +0000 2018,0.901,0.0,0.099,286
286,0.0,Sun Apr 08 04:01:53 +0000 2018,1.0,0.0,0.0,287
287,-0.8851,Sun Apr 08 04:01:53 +0000 2018,0.647,0.353,0.0,288
288,-0.1779,Sun Apr 08 04:01:52 +0000 2018,0.807,0.109,0.084,289
289,-0.8316,Sun Apr 08 04:01:51 +0000 2018,0.738,0.262,0.0,290
290,0.0,Sun Apr 08 04:01:50 +0000 2018,1.0,0.0,0.0,291
291,0.0,Sun Apr 08 04:01:50 +0000 2018,1.0,0.0,0.0,292
292,-0.4215,Sun Apr 08 04:01:49 +0000 2018,0.882,0.118,0.0,293
293,0.0,Sun Apr 08 04:01:49 +0000 2018,1.0,0.0,0.0,294
294,-0.3182,Sun Apr 08 04:01:48 +0000 2018,0.588,0.294,0.118,295
295,0.128,Sun Apr 08 04:01:48 +0000 2018,0.795,0.092,0.113,296
296,-0.8851,Sun Apr 08 04:01:48 +0000 2018,0.647,0.353,0.0,297
297,0.0,Sun Apr 08 04:01:47 +0000 2018,1.0,0.0,0.0,298
298,0.0,Sun Apr 08 04:01:47 +0000 2018,1.0,0.0,0.0,299
299,-0.2023,Sun Apr 08 04:01:45 +0000 2018,0.739,0.144,0.116,300
300,0.0,Sun Apr 08 04:02:36 +0000 2018,1.0,0.0,0.0,301
301,0.0,Sun Apr 08 04:02:36 +0000 2018,1.0,0.0,0.0,302
302,0.7712,Sun Apr 08 04:02:35 +0000 2018,0.662,0.07,0.268,303
303,-0.4404,Sun Apr 08 04:02:34 +0000 2018,0.868,0.132,0.0,304
304,-0.296,Sun Apr 08 04:02:33 +0000 2018,0.916,0.084,0.0,305
305,-0.296,Sun Apr 08 04:02:32 +0000 2018,0.845,0.155,0.0,306
306,-0.5267,Sun Apr 08 04:02:32 +0000 2018,0.794,0.206,0.0,307
307,0.0,Sun Apr 08 04:02:31 +0000 2018,1.0,0.0,0.0,308
308,0.0,Sun Apr 08 04:02:30 +0000 2018,1.0,0.0,0.0,309
309,0.0,Sun Apr 08 04:02:29 +0000 2018,1.0,0.0,0.0,310
310,0.0,Sun Apr 08 04:02:29 +0000 2018,1.0,0.0,0.0,311
311,0.4939,Sun Apr 08 04:02:29 +0000 2018,0.819,0.0,0.181,312
312,0.0,Sun Apr 08 04:02:28 +0000 2018,1.0,0.0,0.0,313
313,0.0,Sun Apr 08 04:02:28 +0000 2018,1.0,0.0,0.0,314
314,-0.5994,Sun Apr 08 04:02:27 +0000 2018,0.741,0.259,0.0,315
315,0.5267,Sun Apr 08 04:02:24 +0000 2018,0.784,0.0,0.216,316
316,-0.1695,Sun Apr 08 04:02:22 +0000 2018,0.932,0.068,0.0,317
317,0.0,Sun Apr 08 04:02:22 +0000 2018,1.0,0.0,0.0,318
318,0.0,Sun Apr 08 04:02:19 +0000 2018,1.0,0.0,0.0,319
319,0.0,Sun Apr 08 04:02:19 +0000 2018,1.0,0.0,0.0,320
320,0.0,Sun Apr 08 04:02:17 +0000 2018,1.0,0.0,0.0,321
321,0.0,Sun Apr 08 04:02:17 +0000 2018,1.0,0.0,0.0,322
322,0.0,Sun Apr 08 04:02:17 +0000 2018,1.0,0.0,0.0,323
323,0.0,Sun Apr 08 04:02:15 +0000 2018,1.0,0.0,0.0,324
324,0.0,Sun Apr 08 04:02:13 +0000 2018,1.0,0.0,0.0,325
325,-0.3182,Sun Apr 08 04:02:13 +0000 2018,0.909,0.091,0.0,326
